ZIP_COAL,cate_half_plus1,cate_bed_plus1,cate_joint_half1_bed1,cate_joint_half1_5_bed0_5
10954,-2485565.515790262,13489416.096571121,11003850.58078086,3016359.7746001678
10956,-2482435.6690266514,13470220.979184655,10987785.310158003,3011456.9860523506
10958,-2479305.822263041,13451025.861798191,10971720.03953515,3006554.1975045344
10960,-2476175.975499431,13431830.744411726,10955654.768912295,3001651.408956716
10962,-2473046.1287358208,13412635.627025262,10939589.49828944,2996748.620408899
10963,-2469916.2819722104,13393440.509638797,10923524.227666587,2991845.8318610834
10964,-2466786.4352086,13374245.392252332,10907458.957043732,2986943.043313266
10965,-2463656.58844499,13355050.274865868,10891393.686420877,2982040.2547654486
10968,-2460526.7416813797,13335855.157479402,10875328.415798021,2977137.4662176315
10969,-2457396.8949177694,13316660.040092938,10859263.145175168,2972234.677669815
10970,-2454267.0481541594,13297464.922706474,10843197.874552313,2967331.8891219976
10973,-2451137.201390549,13278269.80532001,10827132.603929458,2962429.1005741814
10974,-2448007.3546269387,13259074.687933544,10811067.333306605,2957526.312026364
10975,-2444877.507863329,13239879.57054708,10795002.06268375,2952623.5234785466
10976,-2441747.6610997184,13220684.453160614,10778936.792060895,2947720.7349307295
10977,-2438617.814336108,13201489.33577415,10762871.521438042,2942817.946382913
10980,-2435487.967572498,13182294.218387686,10746806.250815187,2937915.157835095
10981,-2432358.1208088878,13163099.10100122,10730740.980192332,2933012.3692872785
10982,-2429228.2740452774,13143903.983614756,10714675.709569478,2928109.580739462
10983,-2426098.4272816675,13124708.86622829,10698610.438946623,2923206.7921916437
10984,-2422968.580518057,13105513.748841826,10682545.168323768,2918304.0036438275
10985,-2419838.7337544467,13086318.631455362,10666479.897700915,2913401.215096011
10987,-2416708.8869908364,13067123.514068896,10650414.62707806,2908498.426548193
10988,-2413579.0402272264,13047928.396682432,10634349.356455205,2903595.6380003765
10989,-2410449.193463616,13028733.279295966,10618284.08583235,2898692.849452559
10990,-2407319.346700006,13009538.161909502,10602218.815209497,2893790.060904742
10992,-2404189.499936396,12990343.044523038,10586153.544586642,2888887.2723569255
10993,-2401059.6531727854,12971147.927136572,10570088.273963789,2883984.483809109
10994,-2397929.806409175,12951952.809750108,10554023.003340933,2879081.695261291
10998,-2394799.9596455647,12932757.692363644,10537957.73271808,2874178.906713475
11001,-2391670.1128819548,12913562.574977178,10521892.462095223,2869276.118165657
11003,-2388540.2661183444,12894367.457590714,10505827.19147237,2864373.3296178407
11010,-2385410.419354734,12875172.34020425,10489761.920849517,2859470.541070024
11020,-2382280.572591124,12855977.222817784,10473696.65022666,2854567.7525222064
11021,-2379150.7258275137,12836782.10543132,10457631.379603807,2849664.9639743892
11023,-2376020.8790639034,12817586.988044854,10441566.10898095,2844762.175426572
11024,-2372891.0323002934,12798391.870658388,10425500.838358097,2839859.386878755
11030,-2369761.185536683,12779196.753271926,10409435.567735244,2834956.5983309383
11040,-2366631.3387730727,12760001.635885462,10393370.29711239,2830053.809783122
11050,-2363501.492009463,12740806.518498998,10377305.026489533,2825151.021235304
11096,-2360371.6452458524,12721611.401112532,10361239.75586668,2820248.2326874873
11249,-2357241.798482242,12702416.283726066,10345174.485243823,2815345.44413967
11360,-2354111.9517186317,12683221.166339602,10329109.21462097,2810442.655591854
11365,-2350982.1049550218,12664026.048953138,10313043.943998117,2805539.8670440363
11501,-2347852.2581914114,12644830.93156667,10296978.67337526,2800637.078496219
11507,-2344722.411427801,12625635.814180208,10280913.402752407,2795734.289948403
11509,-2341592.564664191,12606440.696793744,10264848.132129552,2790831.501400585
