ZIP_COAL,cate_per_plus1_halfbath
11783,-1695667.6695593686
11784,-1692730.936287351
11786,-1689794.2030153328
11787,-1686857.4697433147
11788,-1683920.7364712968
11789,-1680984.0031992784
11790,-1678047.2699272605
11791,-1675110.5366552423
11792,-1672173.8033832242
11793,-1669237.0701112063
11795,-1666300.336839188
11796,-1663363.60356717
11797,-1660426.8702951518
11798,-1657490.1370231337
11801,-1654553.4037511158
11803,-1651616.6704790974
11804,-1648679.9372070795
11901,-1645743.2039350613
11931,-1642806.4706630432
11933,-1639869.737391025
11934,-1636933.004119007
11937,-1633996.270846989
11940,-1631059.5375749709
11941,-1628122.8043029527
11942,-1625186.0710309348
11946,-1622249.3377589164
11947,-1619312.6044868985
11948,-1616375.8712148804
11949,-1613439.1379428625
11950,-1610502.4046708443
11951,-1607565.671398826
11952,-1604628.938126808
11953,-1601692.20485479
11954,-1598755.4715827717
11955,-1595818.7383107536
11957,-1592882.0050387355
11959,-1589945.2717667175
11960,-1587008.5384946994
11961,-1584071.8052226813
11963,-1581135.071950663
11964,-1578198.338678645
11967,-1575261.605406627
11968,-1572324.872134609
11970,-1569388.1388625908
11971,-1566451.4055905726
11972,-1563514.6723185545
11976,-1560577.9390465366
11977,-1557641.2057745187
11978,-1554704.4725025003
11980,-1551767.7392304821
12007,-1548831.005958464
12008,-1545894.272686446
12009,-1542957.539414428
12010,-1540020.8061424098
12015,-1537084.0728703917
12017,-1534147.3395983735
12018,-1531210.6063263556
12019,-1528273.8730543375
12020,-1525337.1397823193
12022,-1522400.4065103012
12023,-1519463.673238283
12024,-1516526.939966265
12025,-1513590.206694247
12027,-1510653.4734222288
12028,-1507716.7401502107
12029,-1504780.0068781925
12031,-1501843.2736061746
12032,-1498906.5403341565
12033,-1495969.8070621383
12035,-1493033.0737901202
12036,-1490096.340518102
12037,-1487159.6072460841
12041,-1484222.8739740658
12042,-1481286.1407020479
12043,-1478349.4074300297
12045,-1475412.6741580116
12046,-1472475.9408859937
12047,-1469539.2076139753
12051,-1466602.4743419574
12052,-1463665.7410699392
12053,-1460729.007797921
12054,-1457792.2745259032
12056,-1454855.5412538848
12057,-1451918.8079818669
12058,-1448982.0747098487
12059,-1446045.3414378306
12060,-1443108.6081658127
12061,-1440171.8748937943
12062,-1437235.1416217764
12063,-1434298.4083497582
12065,-1431361.67507774
12066,-1428424.9418057222
12067,-1425488.2085337038
12068,-1422551.475261686
12069,-1419614.7419896678
12070,-1416678.0087176496
12071,-1413741.2754456317
12072,-1410804.5421736133
12074,-1407867.8089015954
12075,-1404931.0756295773
12076,-1401994.3423575591
12077,-1399057.6090855412
12078,-1396120.8758135228
12082,-1393184.142541505
12083,-1390247.4092694868
12084,-1387310.6759974686
12085,-1384373.9427254507
12086,-1381437.2094534324
12087,-1378500.4761814144
12090,-1375563.7429093963
12092,-1372627.0096373782
12093,-1369690.2763653602
12094,-1366753.5430933419
12095,-1363816.809821324
12106,-1360880.0765493058
12110,-1357943.3432772877
12116,-1355006.6100052698
12117,-1352069.8767332516
12118,-1349133.1434612335
12120,-1346196.4101892153
12121,-1343259.6769171972
12122,-1340322.943645179
12123,-1337386.2103731611
12124,-1334449.477101143
12125,-1331512.7438291248
12130,-1328576.0105571067
12132,-1325639.2772850886
12134,-1322702.5440130706
12136,-1319765.8107410525
12137,-1316829.0774690344
12138,-1313892.3441970162
12139,-1310955.610924998
12140,-1308018.8776529802
12143,-1305082.144380962
12144,-1302145.4111089439
12147,-1299208.6778369257
